# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,90.0,Infinity,0.0,0.0,0.0
 0.0697085696654298,0.012148211712000201,0.1742714241635745,2.4999999999999996,0.0,90.0,Infinity,0.0,0.0,0.0
 0.09917915445495593,0.02459126169600001,0.4222193103009644,8.413402309733293,0.0,90.0,Infinity,0.0,0.0,0.0
 0.12219127992455116,0.03732677222400005,0.5534260859487677,5.7016365490080565,0.0,90.0,Infinity,0.0,0.0,0.0
 0.14191880152819786,0.050352365568000046,0.660275203631873,5.4162463906948055,0.0,90.0,Infinity,0.0,0.0,0.0
 0.15958153276616963,0.06366566400000018,0.7537508357359183,5.292252418079551,0.0,90.0,Infinity,0.0,0.0,0.0
 0.17580021591795633,0.07726428979200017,0.8384543717103151,5.222590217817135,0.0,90.0,Infinity,0.0,0.0,0.0
 0.19094068735185826,0.09114586521600021,0.9168522581745358,5.178034700338014,0.0,90.0,Infinity,0.0,0.0,0.0
 0.20523938466483477,0.10530801254400002,0.9904501800417319,5.147176715210539,0.0,90.0,Infinity,0.0,0.0,0.0
 0.21885918216789554,0.11974835404800022,1.0602464170818267,5.1246163553025985,0.0,90.0,Infinity,0.0,0.0,0.0
 0.2319176681497122,0.1344645120000001,1.1269421257940195,5.1074610644039105,0.0,90.0,Infinity,0.0,0.0,0.0
 0.2445028496128418,0.14945410867199982,1.1910512944063838,5.0940202014713,0.0,90.0,Infinity,0.0,0.0,0.0
 0.2566825014183869,0.16471476633600046,1.2529633775780724,5.08323917301984,0.0,90.0,Infinity,0.0,0.0,0.0
 0.2685100424669439,0.18024410726399998,1.3129813597133244,5.074426027257327,0.0,90.0,Infinity,0.0,0.0,0.0
 0.2800283940803149,0.1960397537280003,1.3713460913681488,5.067108004158516,0.0,90.0,Infinity,0.0,0.0,0.0
 0.29127260633296764,0.21209932799999986,1.4282525010332083,5.0609512152915865,0.0,90.0,Infinity,0.0,0.0,0.0
 0.30227170052917635,0.22842045235200015,1.4838607671553572,5.055713236942418,0.0,90.0,Infinity,0.0,0.0,0.0
 0.31304999540392936,0.24500074905600044,1.5383042398327627,5.051213880308042,0.0,90.0,Infinity,0.0,0.0,0.0
 0.3236280830731477,0.2618378403840005,1.5916951961926946,5.04731649325394,0.0,90.0,Infinity,0.0,0.0,0.0
 0.33402356120968474,0.278929348608,1.644129110707082,5.043915616550397,0.0,90.0,Infinity,0.0,0.0,0.0
 0.3442515917174531,0.29627289600000006,1.6956878823178427,5.040928610019395,0.0,90.0,Infinity,0.0,0.0,0.0
 0.35432533346177797,0.3138661048320004,1.7464423129480813,5.038289834939595,0.0,90.0,Infinity,0.0,0.0,0.0
 0.36425628196422377,0.3317065973760003,1.7964540385650087,5.035946526619338,0.0,90.0,Infinity,0.0,0.0,0.0
 0.3740545392875217,0.34979199590400034,1.8457770531293656,5.033855810979618,0.0,90.0,Infinity,0.0,0.0,0.0
 0.38372903079543,0.3681199226880003,1.8944589252073825,5.031982511765325,0.0,90.0,Infinity,0.0,0.0,0.0
 0.39328768096649064,0.38668800000000036,1.9425417794047974,5.030297514495165,0.0,90.0,Infinity,0.0,0.0,0.0
 0.4027375572811657,0.4054938501120007,1.9900630956191416,5.028776529122021,0.0,90.0,Infinity,0.0,0.0,0.0
 0.41208498895058043,0.4245350952960001,2.0370563655793683,5.027399142589205,0.0,90.0,Infinity,0.0,0.0,0.0
 0.4213356656273003,0.44380935782400055,2.0835516364446978,5.026148085181583,0.0,90.0,Infinity,0.0,0.0,0.0
 0.4304947200456704,0.46331425996800046,2.129575964182433,5.025008656507733,0.0,90.0,Infinity,0.0,0.0,0.0
 0.43956679765423606,0.48304742400000045,2.1751537942497725,5.023968272086422,0.0,90.0,Infinity,0.0,0.0,0.0
 0.44855611563861236,0.5030064721920007,2.220307283232126,5.023016102092659,0.0,90.0,Infinity,0.0,0.0,0.0
 0.45746651322954784,0.5231890268160004,2.2650565721704052,5.022142781126036,0.0,90.0,Infinity,0.0,0.0,0.0
 0.4663014948052387,0.5435927101440003,2.3094200200869635,5.021340173319969,0.0,90.0,Infinity,0.0,0.0,0.0
 0.47506426699889787,0.5642151444480006,2.3534144045103473,5.020601180893261,0.0,90.0,Infinity,0.0,0.0,0.0
 0.48375777079029963,0.5850539520000004,2.3970550944729885,5.019919587060349,0.0,90.0,Infinity,0.0,0.0,0.0
 0.49238470937753553,0.6061067550720005,2.4403562004195827,5.019289926401113,0.0,90.0,Infinity,0.0,0.0,0.0
 0.500955748678348,0.627371175936001,2.480961773443827,4.737532007395543,0.0,90.0,Infinity,0.0,0.0,0.0
 0.5095452130495479,0.6488448368640007,2.5,2.2164626027214687,0.0,90.0,Infinity,0.0,0.0,0.0
 0.5182174223551479,0.6705253601280008,2.500000000000013,1.4850410814388003e-12,0.0,90.0,Infinity,0.0,0.0,0.0
 0.5269714255039479,0.6924103680000009,2.5,-1.4711654618741093e-12,0.0,90.0,Infinity,0.0,0.0,0.0
 0.5358062714047479,0.7144974827520008,2.499999999999994,-7.037190017471525e-13,0.0,90.0,Infinity,0.0,0.0,0.0
 0.5447210089663478,0.7367843266560006,2.5000000000000124,2.09223734123647e-12,0.0,90.0,Infinity,0.0,0.0,0.0
 0.5537146870975478,0.7592685219840005,2.499999999999994,-2.073873063012761e-12,0.0,90.0,Infinity,0.0,0.0,0.0
