# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,76.67357432295975,142.13,28.919903443097056,0.03457826205981652,0.0,0.0
 0.038589872038991065,0.0037229455599642604,0.09647468009747764,2.4999999999999996,76.67357432295975,142.44210399849968,28.919903443097056,0.03457826205981652,0.0,0.0
 0.05397010852844806,0.007281931536431154,0.2313999514185978,8.772639576355678,82.70940723977183,142.75420799699936,32.32488703970257,0.030935916304108493,392.4408393167154,25515.917104768178
 0.0654850842618262,0.010720740651946194,0.2986379819756858,5.839181263941965,89.1931060106682,143.06631199549903,34.86946258598553,0.028678388648350213,563.066646515134,14817.730505834275
 0.07510763492281967,0.014086608784961627,0.3497895985790451,5.315806422377224,95.99454071785779,143.37841599399871,36.10149151926781,0.027699686575727425,706.8224368784328,14939.468279032862
 0.0840679334146186,0.017428628110160285,0.3729808028446263,2.5882178240833555,102.93629465517363,143.6905199924984,35.78270898871206,0.027946458729982068,774.7235143638799,7577.992803207927
 0.0929597986989813,0.020795716174053475,0.3786706114199207,0.6398892013468227,109.81793040669422,144.00262399099807,33.990976343752706,0.02941957270914911,773.9248775645179,-89.81656534614639
 0.10172552749497296,0.02423453891657567,0.3923031184919476,1.555205207610426,116.44902186450021,144.31472798949773,31.083040134386998,0.03217188523633843,756.4791943869196,-1990.2147994329453
 0.11031745965647244,0.027787803241254298,0.4135582378781849,2.4738462765664844,122.67829024690957,144.6268319879974,27.546209621834173,0.036302635234698934,725.0136832228225,-3662.2159687310527
 0.11870041682477948,0.031493183248655396,0.4420134724545428,3.394414883084091,128.4087737796035,144.93893598649709,23.838048291881606,0.041949743022400225,683.5873567813077,-4941.731850680653
 0.1268517668648984,0.03538291755201499,0.4771889667619824,4.3152967464670935,133.59732746638252,145.25103998499677,20.291580338574605,0.049281523829811553,636.5269140991666,-5773.331098593658
 0.13479557603913303,0.039483941951976825,0.5162541433224905,4.91768819009578,138.24371880267302,145.56314398349645,17.097235776986107,0.05848898693589167,584.9072194937479,-6498.103551233926
 0.14259666824931244,0.04381835669677273,0.5556163967835247,5.0457362123821,142.37629237012925,145.87524798199613,14.330888634107898,0.0697793434539693,529.7429457459486,-7071.352608269019
 0.150311412868163,0.04840404710071287,0.5944059888560996,5.0279813511642,146.03906417065383,146.1873519804958,11.994595383576579,0.08337088230331097,474.77550865064387,-7124.984663911598
 0.15797709983161667,0.05325533127516777,0.6328570678118601,5.015999106026217,149.28222989912643,146.49945597899548,10.051352257816642,0.09948910100353207,423.07568048819,-6744.317685933945
 0.1656183538190484,0.058383563427000344,0.6711244201890747,5.00799377172338,152.1561338983591,146.81155997749516,8.448524134035194,0.11836386854497613,376.1037133380999,-6147.15427956578
 0.17325126324212858,0.06379766110248516,0.7093098287153553,5.002733087702659,154.7079305240928,147.12366397599484,7.131274640614711,0.14022738576140445,334.3150670722849,-5474.799182007282
 0.1808861080517226,0.06950454890204033,0.7474792142970407,4.999366265273843,156.9800522234217,147.43576797449452,6.0491405514690335,0.16531274013085215,297.5989369782243,-4809.0211405375
 0.18852919459582818,0.07550952360571073,0.7856740426812886,4.9973041864486145,159.0097670806015,147.7478719729942,5.158550765347705,0.1938528950257595,265.5621973488105,-4191.597130889582
 0.19618410593889898,0.08181655079087008,0.8239190373992308,4.996138165932043,160.82933093956873,148.05997597149388,4.423213143775241,0.22607999377269292,237.6988808125538,-3639.9267460463166
 0.20385256206752894,0.08842850421070812,0.8622274560784807,4.9955842527711125,162.46642468189336,148.37207996999356,3.8135205019998755,0.2622248915341042,213.48413746706888,-3157.7077496837805
 0.21153501593077245,0.09534735850608131,0.9006047310581655,4.9954449011792725,163.94469722030297,148.68418396849322,3.3056009626953777,0.30251685284620766,192.42192204789734,-2741.5999879860155
 0.21923106855515076,0.10257434439810172,0.9390509972772189,4.995582553225986,165.28431751002515,148.9962879669929,2.8803222865754647,0.3471833706459779,174.0658952199346,-2385.1223119001943
 0.22693975910060227,0.11011007393758035,0.9775628552017918,4.995901404719991,166.5024882408515,149.30839196549258,2.5223856968956784,0.39645007551014444,158.0256366037645,-2080.801988560121
 0.23465976781632716,0.11795464193182857,1.016134603354736,4.996334793557608,167.6139017877737,149.62049596399225,2.2195552390660644,0.4505407130217566,143.96532281865626,-1821.2821128645592
 0.2423895579531583,0.1261077084234991,1.054759100486125,4.99683645321103,168.63113393072973,149.93259996249193,1.9620262627229506,0.5096771735420984,131.59893411712503,-1599.834986800934
 0.2501274746758066,0.13456856607443865,1.0934283676348264,4.9973744270883,169.56497826509408,150.24470396099161,1.7419188278413302,0.5740795633050526,120.68420581874082,-1410.5512749236013
 0.257871813564423,0.1433361954893639,1.132134006662983,4.9979268191699235,170.4247274437979,150.5568079594913,1.552876270512854,0.6439663088352424,111.01647165358142,-1248.3614552780243
 0.2656208675482172,0.15240931086828563,1.170867488844007,4.9984788158694515,171.218408375601,150.86891195799097,1.389749202851535,0.7195542893265675,102.42294523472577,-1108.9774876814076
 0.2733729585183626,0.16178639787035098,1.2096203512288606,4.999020591231117,171.95297836505375,151.18101595649065,1.2483475113012918,0.8010589927460091,94.75765858291759,-988.8024639195385
 0.28112645805612413,0.17146574517656032,1.2483843274986228,4.999545828431616,172.6344885345572,151.49311995499033,1.1252458325054755,0.8886946932950618,87.89710584031529,-884.8330626950608
